Id,Label
1,1
2,5
3,2
4,1
5,4
6,4
7,5
8,2
9,8
10,6
11,2
12,5
13,8
14,3
15,4
16,6
17,0
18,1
19,8
20,7
21,3
22,7
23,8
24,2
25,3
26,9
27,6
28,7
29,9
30,7
31,4
32,5
33,5
34,2
35,6
36,1
37,3
38,6
39,9
40,3
41,3
42,6
43,4
44,8
45,5
46,0
47,8
48,5
49,1
50,4
51,6
52,6
53,0
54,9
55,8
56,9
57,5
58,5
59,8
60,7
61,9
62,2
63,7
64,9
65,5
66,5
67,3
68,7
69,3
70,3
71,0
72,5
73,8
74,0
75,1
76,0
77,1
78,9
79,8
80,2
81,0
82,8
83,8
84,8
85,0
86,8
87,5
88,4
89,5
90,3
91,8
92,1
93,5
94,3
95,6
96,0
97,2
98,9
99,4
100,6
101,8
102,1
103,2
104,0
105,8
106,9
107,9
108,6
109,2
110,1
111,6
112,3
113,8
114,9
115,0
116,0
117,2
118,3
119,8
120,3
121,0
122,9
123,8
124,5
125,2
126,1
127,8
128,3
129,5
130,6
131,7
132,6
133,7
134,7
135,8
136,5
137,6
138,2
139,5
140,8
141,5
142,5
143,7
144,5
145,3
146,5
147,1
148,8
149,0
150,8
151,4
152,6
153,3
154,9
155,8
156,3
157,5
158,1
159,7
160,7
161,5
162,5
163,3
164,2
165,1
166,9
167,8
168,5
169,7
170,7
171,9
172,5
173,0
174,8
175,9
176,9
177,5
178,5
179,1
180,4
181,7
182,6
183,9
184,4
185,2
186,4
187,7
188,5
189,2
190,6
191,5
192,0
193,9
194,1
195,8
196,4
197,5
198,0
199,7
200,1
201,5
202,1
203,0
204,0
205,3
206,7
207,7
208,9
209,0
210,7
211,3
212,0
213,5
214,4
215,8
216,9
217,9
218,0
219,2
220,6
221,9
222,6
223,5
224,0
225,1
226,5
227,1
228,2
229,3
230,6
231,2
232,2
233,3
234,2
235,5
236,8
237,6
238,8
239,3
240,7
241,9
242,2
243,3
244,6
245,7
246,7
247,3
248,6
249,9
250,0
251,2
252,4
253,0
254,6
255,5
256,3
257,7
258,7
259,0
260,3
261,4
262,5
263,6
264,2
265,3
266,4
267,7
268,1
269,2
270,9
271,1
272,3
273,6
274,2
275,7
276,2
277,8
278,7
279,7
280,6
281,6
282,3
283,4
284,8
285,0
286,8
287,3
288,7
289,7
290,3
291,2
292,3
293,1
294,6
295,4
296,6
297,7
298,5
299,7
300,3
301,6
302,2
303,9
304,3
305,8
306,2
307,5
308,6
309,2
310,2
311,2
312,8
313,9
314,6
315,5
316,7
317,5
318,0
319,6
320,6
321,7
322,6
323,0
324,8
325,7
326,9
327,9
328,7
329,6
330,9
331,0
332,9
333,5
334,5
335,5
336,8
337,5
338,6
339,8
340,7
341,3
342,9
343,5
344,5
345,2
346,7
347,8
348,4
349,0
350,9
351,2
352,2
353,5
354,1
355,6
356,1
357,2
358,5
359,8
360,5
361,0
362,3
363,5
364,1
365,9
366,7
367,2
368,9
369,5
370,5
371,5
372,9
373,3
374,4
375,5
376,6
377,5
378,7
379,7
380,8
381,4
382,5
383,3
384,8
385,3
386,5
387,2
388,6
389,7
390,8
391,2
392,5
393,5
394,5
395,7
396,1
397,9
398,3
399,0
400,1
401,0
402,9
403,2
404,1
405,4
406,0
407,5
408,8
409,0
410,7
411,9
412,2
413,6
414,6
415,6
416,7
417,3
418,0
419,1
420,9
421,6
422,8
423,7
424,5
425,3
426,7
427,5
428,5
429,5
430,4
431,7
432,9
433,5
434,1
435,1
436,7
437,7
438,8
439,3
440,5
441,2
442,9
443,5
444,1
445,1
446,6
447,6
448,7
449,1
450,4
451,7
452,7
453,7
454,3
455,9
456,0
457,8
458,9
459,2
460,2
461,5
462,3
463,3
464,5
465,0
466,8
467,9
468,6
469,6
470,2
471,2
472,9
473,5
474,0
475,5
476,1
477,9
478,7
479,5
480,5
481,0
482,1
483,5
484,7
485,6
486,6
487,2
488,0
489,2
490,0
491,8
492,5
493,9
494,0
495,1
496,5
497,9
498,6
499,9
500,0
501,3
502,4
503,2
504,9
505,4
506,5
507,0
508,4
509,2
510,4
511,3
512,8
513,8
514,1
515,4
516,0
517,1
518,7
519,9
520,2
521,7
522,8
523,0
524,1
525,7
526,4
527,9
528,2
529,7
530,5
531,0
532,6
533,1
534,0
535,4
536,5
537,9
538,7
539,0
540,5
541,0
542,7
543,9
544,2
545,3
546,8
547,3
548,4
549,6
550,4
551,2
552,7
553,5
554,7
555,8
556,8
557,7
558,7
559,8
560,2
561,3
562,2
563,8
564,4
565,5
566,4
567,7
568,8
569,8
570,8
571,5
572,6
573,3
574,4
575,8
576,3
577,0
578,2
579,7
580,7
581,0
582,8
583,5
584,3
585,4
586,9
587,5
588,2
589,1
590,8
591,3
592,2
593,2
594,8
595,3
596,7
597,5
598,1
599,5
600,7
601,3
602,1
603,3
604,8
605,8
606,6
607,1
608,2
609,4
610,9
611,7
612,3
613,5
614,1
615,5
616,1
617,5
618,8
619,6
620,8
621,7
622,9
623,7
624,9
625,2
626,7
627,2
628,7
629,1
630,2
631,5
632,2
633,1
634,4
635,8
636,9
637,2
638,2
639,3
640,0
641,9
642,4
643,2
644,2
645,7
646,0
647,6
648,4
649,3
650,8
651,5
652,4
653,7
654,6
655,6
656,7
657,6
658,7
659,1
660,6
661,5
662,5
663,7
664,5
665,3
666,1
667,2
668,7
669,0
670,7
671,9
672,2
673,8
674,0
675,9
676,3
677,1
678,9
679,9
680,5
681,7
682,4
683,7
684,9
685,2
686,4
687,1
688,1
689,5
690,8
691,7
692,0
693,1
694,4
695,7
696,4
697,5
698,7
699,2
700,1
701,1
702,1
703,7
704,1
705,8
706,1
707,7
708,4
709,8
710,0
711,3
712,6
713,1
714,1
715,0
716,9
717,7
718,3
719,5
720,4
721,5
722,2
723,1
724,1
725,6
726,3
727,7
728,0
729,9
730,1
731,2
732,1
733,8
734,8
735,4
736,5
737,5
738,2
739,8
740,8
741,9
742,8
743,1
744,4
745,6
746,6
747,6
748,1
749,7
750,9
751,8
752,3
753,6
754,3
755,9
756,5
757,3
758,7
759,7
760,5
761,2
762,7
763,7
764,3
765,9
766,5
767,1
768,4
769,3
770,7
771,6
772,6
773,2
774,4
775,6
776,2
777,1
778,2
779,5
780,7
781,7
782,2
783,1
784,7
785,7
786,3
787,7
788,4
789,1
790,0
791,5
792,8
793,3
794,7
795,1
796,2
797,5
798,8
799,7
800,1
801,1
802,3
803,8
804,7
805,6
806,1
807,7
808,6
809,4
810,6
811,1
812,8
813,9
814,2
815,1
816,5
817,2
818,2
819,5
820,9
821,2
822,5
823,6
824,9
825,5
826,4
827,8
828,4
829,2
830,2
831,5
832,6
833,7
834,6
835,1
836,1
837,4
838,5
839,4
840,2
841,3
842,8
843,0
844,2
845,8
846,0
847,6
848,8
849,6
850,7
851,2
852,7
853,3
854,0
855,1
856,9
857,5
858,9
859,4
860,6
861,4
862,5
863,6
864,2
865,5
866,4
867,3
868,1
869,0
870,4
871,6
872,3
873,9
874,4
875,3
876,1
877,0
878,1
879,9
880,6
881,7
882,9
883,1
884,8
885,7
886,0
887,6
888,7
889,9
890,8
891,7
892,4
893,9
894,5
895,6
896,3
897,9
898,5
899,9
900,7
901,7
902,4
903,9
904,3
905,7
906,8
907,0
908,4
909,4
910,8
911,0
912,9
913,6
914,1
915,1
916,2
917,8
918,8
919,5
920,9
921,1
922,8
923,4
924,7
925,3
926,4
927,5
928,9
929,0
930,4
931,5
932,4
933,3
934,6
935,9
936,8
937,7
938,3
939,7
940,3
941,4
942,2
943,5
944,0
945,7
946,4
947,4
948,8
949,1
950,6
951,9
952,3
953,0
954,5
955,2
956,0
957,6
958,0
959,7
960,0
961,4
962,1
963,6
964,3
965,7
966,3
967,5
968,0
969,3
970,4
971,9
972,1
973,6
974,1
975,7
976,2
977,5
978,7
979,0
980,9
981,7
982,9
983,2
984,9
985,5
986,8
987,3
988,8
989,6
990,8
991,9
992,4
993,7
994,9
995,6
996,4
997,6
998,0
999,6
1000,1
1001,9
1002,5
1003,7
1004,5
1005,9
1006,5
1007,8
1008,3
1009,4
1010,3
1011,4
1012,0
1013,3
1014,3
1015,8
1016,5
1017,3
1018,8
1019,5
1020,6
1021,2
1022,9
1023,4
1024,7
1025,2
1026,8
1027,4
1028,1
1029,2
1030,2
1031,0
1032,0
1033,0
1034,8
1035,7
1036,2
1037,2
1038,3
1039,6
1040,2
1041,2
1042,6
1043,8
1044,7
1045,9
1046,0
1047,1
1048,6
1049,8
1050,4
1051,1
1052,2
1053,2
1054,8
1055,7
1056,9
1057,7
1058,0
1059,2
1060,6
1061,9
1062,2
1063,8
1064,9
